ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC; State Name [Public School] (All Years: 2021-22): Tennessee

School Name,State Name [Public School] Latest available year,School Name [Public School] 2021-22,Total Students All Grades (Excludes AE) [Public School] 2021-22,Full-Time Equivalent (FTE) Teachers [Public School] 2021-22,Pupil/Teacher Ratio [Public School] 2021-22,State Name [Public School] 2021-22,Agency ID - NCES Assigned [Public School] Latest available year,Locale [Public School] 2021-22,School-wide Title I [Public School] 2021-22,National School Lunch Program [Public School] 2021-22,Agency Type [District] 2021-22
A H ROBERTS ELEMENTARY,Tennessee,A H Roberts Elementary,357,32.92,10.84,TENNESSEE,4703330,33-Town: Remote,1-Yes,Yes participating without using any Provision or the CEO,1-Regular local school district that is NOT a component of a supervisory union
A L LOTTS ELEMENTARY,Tennessee,A L Lotts Elementary,949,60.40,15.71,TENNESSEE,4702220,21-Suburb: Large,†,Yes participating without using any Provision or the CEO,1-Regular local school district that is NOT a component of a supervisory union
A. B. HILL ELEMENTARY,Tennessee,A. B. Hill Elementary,361,26.00,13.88,TENNESSEE,4700148,11-City: Large,1-Yes,Yes participating without using any Provision or the CEO,1-Regular local school district that is NOT a component of a supervisory union
A. MACEO WALKER MIDDLE,Tennessee,A. Maceo Walker Middle,696,42.21,16.49,TENNESSEE,4700148,11-City: Large,1-Yes,Yes participating without using any Provision or the CEO,1-Regular local school district that is NOT a component of a supervisory union
A. Z. KELLEY ELEMENTARY,Tennessee,A. Z. Kelley Elementary,738,48.03,15.37,TENNESSEE,4703180,11-City: Large,1-Yes,Yes participating without using any Provision or the CEO,1-Regular local school district that is NOT a component of a supervisory union
ABRAHAM LINCOLN ELEMENTARY SCHOOL,Tennessee,Abraham Lincoln Elementary School,390,28.50,13.68,TENNESSEE,4702190,13-City: Small,1-Yes,Yes participating without using any Provision or the CEO,1-Regular local school district that is NOT a component of a supervisory union
ADAMSVILLE ELEMENTARY,Tennessee,Adamsville Elementary,683,49.63,13.76,TENNESSEE,4702880,42-Rural: Distant,1-Yes,Yes participating without using any Provision or the CEO,1-Regular local school district that is NOT a component of a supervisory union
ADAMSVILLE HIGH SCHOOL,Tennessee,Adamsville High School,483,38.13,12.67,TENNESSEE,4702880,42-Rural: Distant,2-No,Yes participating without using any Provision or the CEO,1-Regular local school district that is NOT a component of a supervisory union
ADRIAN BURNETT ELEMENTARY,Tennessee,Adrian Burnett Elementary,493,35.25,13.99,TENNESSEE,4702220,21-Suburb: Large,1-Yes,Yes participating without using any Provision or the CEO,1-Regular local school district that is NOT a component of a supervisory union
ALAMO ELEMENTARY,Tennessee,Alamo Elementary,606,37.00,16.38,TENNESSEE,4700030,32-Town: Distant,1-Yes,Yes participating without using any Provision or the CEO,1-Regular local school district that is NOT a component of a supervisory union
ALCOA ELEMENTARY,Tennessee,Alcoa Elementary,527,36.00,14.64,TENNESSEE,4700060,21-Suburb: Large,1-Yes,Yes participating without using any Provision or the CEO,1-Regular local school district that is NOT a component of a supervisory union
ALCOA HIGH SCHOOL,Tennessee,Alcoa High School,690,49.50,13.94,TENNESSEE,4700060,21-Suburb: Large,2-No,Yes participating without using any Provision or the CEO,1-Regular local school district that is NOT a component of a supervisory union
ALCOA INTERMEDIATE SCHOOL,TENNESSEE,Alcoa Intermediate School,460,30.50,15.08,TENNESSEE,4700060,21-Suburb: Large,1-Yes,Yes participating without using any Provision or the CEO,1-Regular local school district that is NOT a component of a supervisory union
ALCOA MIDDLE SCHOOL,Tennessee,Alcoa Middle School,490,30.50,16.07,TENNESSEE,4700060,21-Suburb: Large,1-Yes,Yes participating without using any Provision or the CEO,1-Regular local school district that is NOT a component of a supervisory union
ALCY ELEMENTARY,TENNESSEE,Alcy Elementary,597,36.50,16.36,TENNESSEE,4700148,11-City: Large,1-Yes,Yes participating without using any Provision or the CEO,1-Regular local school district that is NOT a component of a supervisory union
ALEX GREEN ELEMENTARY,Tennessee,Alex Green Elementary,388,25.03,15.50,TENNESSEE,4703180,41-Rural: Fringe,1-Yes,Yes participating without using any Provision or the CEO,1-Regular local school district that is NOT a component of a supervisory union
ALEXANDER ELEMENTARY SCHOOL,Tennessee,Alexander Elementary School,361,23.67,15.25,TENNESSEE,4702580,13-City: Small,1-Yes,Yes participating without using any Provision or the CEO,1-Regular local school district that is NOT a component of a supervisory union
