Jurisdiction,Average Score (0 - 500),At or Above Basic %,At or Above Proficient %
Wyoming,243,84,44
Massachusetts,242,79,43
Nebraska,242,80,43
Florida,241,81,41
Wisconsin,240,79,43
North Dakota,240,81,40
Iowa,240,80,40
Utah,240,78,42
New Hampshire,239,80,40
New Jersey,239,77,39
Indiana,239,78,40
Minnesota,239,78,41
South Dakota,239,80,40
Texas,239,78,38
Montana,239,80,38
Ohio,238,76,40
Pennsylvania,238,76,40
Illinois,237,76,38
Hawaii,237,77,37
Virginia,236,75,38
Connecticut,236,74,37
Tennessee,236,76,36
Idaho,236,76,36
Colorado,236,75,36
North Carolina,236,75,35
Kansas,235,75,35
Washington,235,74,35
Georgia,235,75,34
Vermont,234,74,34
South Carolina,234,74,34
Rhode Island,234,74,34
Kentucky,234,75,33
Mississippi,234,74,32
Maine,233,75,32
Missouri,232,72,34
Michigan,232,71,32
Arizona,232,70,32
California,230,67,30
Alabama,230,71,27
Oklahoma,229,71,27
Nevada,229,69,28
Maryland,229,65,31
Louisiana,229,69,27
Oregon,228,66,29
Arkansas,228,69,28
New York,227,66,28
West Virginia,226,67,23
Alaska,226,65,28
Delaware,226,64,26
District of Columbia,223,57,24
New Mexico,221,60,19
