state,variable,year,raw,inf_adj,inf_adj_perchild
Alabama,PK12ed,2016,6589890,6589890,5.671337604522705
Alaska,PK12ed,2016,2074993,2074993,10.626983642578123
Arizona,PK12ed,2016,7137123,7137123,4.145819187164307
Arkansas,PK12ed,2016,4411761,4411761,5.927897930145264
California,PK12ed,2016,68892072,68892072,7.165300369262695
Colorado,PK12ed,2016,8060420,8060420,6.062129974365234
Connecticut,PK12ed,2016,8687640,8687640,10.810376167297363
Delaware,PK12ed,2016,1832385,1832385,8.438220977783203
Florida,PK12ed,2016,24222830,24222830,5.503664016723633
Georgia,PK12ed,2016,16563441,16563441,6.248016357421875
Hawaii,PK12ed,2016,1843481,1843481,5.722679138183594
Idaho,PK12ed,2016,1935653,1935653,4.201137065887451
Illinois,PK12ed,2016,23933484,23933484,7.7321343421936035
Indiana,PK12ed,2016,8643916,8643916,5.200248718261719
Iowa,PK12ed,2016,5517359,5517359,7.137380123138428
Kansas,PK12ed,2016,4532902,4532902,6.009279727935791
Kentucky,PK12ed,2016,6283316,6283316,5.881508827209473
Louisiana,PK12ed,2016,7295542,7295542,6.219202995300293
Maine,PK12ed,2016,2290535,2290535,8.453936576843262
Maryland,PK12ed,2016,10459539,10459539,7.3280863761901855
Massachusetts,PK12ed,2016,13998163,13998163,9.491463661193848
Michigan,PK12ed,2016,15328155,15328155,6.589707851409912
Minnesota,PK12ed,2016,9987116,9987116,7.341189861297607
Mississippi,PK12ed,2016,4077663,4077663,5.354270935058594
Missouri,PK12ed,2016,8996869,8996869,6.148110866546631
Montana,PK12ed,2016,1598517,1598517,6.667794227600098
Nebraska,PK12ed,2016,3728426,3728426,7.474581718444824
Nevada,PK12ed,2016,3944218,3944218,5.543252468109131
New Hampshire,PK12ed,2016,2737576,2737576,9.8241424560546875
New Jersey,PK12ed,2016,24349836,24349836,11.593923568725586
New Mexico,PK12ed,2016,3049749,3049749,5.859290599822998
New York,PK12ed,2016,56656536,56656536,12.767292976379396
North Carolina,PK12ed,2016,12620939,12620939,5.193966865539551
North Dakota,PK12ed,2016,1393844,1393844,7.546121120452881
Ohio,PK12ed,2016,20271944,20271944,7.329432964324951
Oklahoma,PK12ed,2016,4958496,4958496,4.8956990242004395
Oregon,PK12ed,2016,6285584,6285584,6.84322452545166
Pennsylvania,PK12ed,2016,25955384,25955384,9.129467010498049
Rhode Island,PK12ed,2016,2297516,2297516,10.197314262390137
South Carolina,PK12ed,2016,7419325,7419325,6.383631706237793
South Dakota,PK12ed,2016,1185796,1185796,5.29656982421875
Tennessee,PK12ed,2016,8294165,8294165,5.232172012329102
Texas,PK12ed,2016,43287224,43287224,5.629720211029053
Utah,PK12ed,2016,3931265,3931265,4.073486804962158
Vermont,PK12ed,2016,1536843,1536843,12.033190727233888
Virginia,PK12ed,2016,14385736,14385736,7.275205135345459
Washington,PK12ed,2016,12315163,12315163,7.1776347160339355
West Virginia,PK12ed,2016,2873668,2873668,7.254246234893799
Wisconsin,PK12ed,2016,9691073,9691073,7.109844207763672
Wyoming,PK12ed,2016,1542763,1542763,10.58942699432373
Alabama,highered,2016,1809324,1809324,1.557125687599182
Alaska,highered,2016,534733,534733,2.738611221313477
Arizona,highered,2016,2563081,2563081,1.4888451099395752
Arkansas,highered,2016,1551943,1551943,2.085280656814575
California,highered,2016,26706188,26706188,2.777647018432617
Colorado,highered,2016,2144389,2144389,1.612765192985535
Connecticut,highered,2016,1432095,1432095,1.7820128202438354
Delaware,highered,2016,307848,307848,1.4176548719406128
Florida,highered,2016,6610633,6610633,1.5020004510879517
Georgia,highered,2016,2497892,2497892,0.9422480463981628
Hawaii,highered,2016,569970,569970,1.7693458795547483
Idaho,highered,2016,555758,555758,1.2062159776687622
Illinois,highered,2016,5063521,5063521,1.6358598470687866
Indiana,highered,2016,2281517,2281517,1.3725788593292236
Iowa,highered,2016,1521209,1521209,1.9678703546524048
